0.0145, 0.493
0.0418, 0.477
0.0674, 0.449
0.0925, 0.426
0.118, 0.395
0.141, 0.365
0.158, 0.318
0.176, 0.287
0.188, 0.243
0.208, 0.181
0.227, 0.114
0.245, 0.0420
0.266, -0.0438
0.279, -0.109
0.292, -0.183
0.306, -0.245
0.318, -0.315
0.329, -0.391
0.343, -0.470
0.357, -0.542
0.372, -0.613
0.389, -0.683
0.411, -0.748
0.432, -0.798
0.458, -0.836
0.482, -0.853
0.508, -0.858
0.534, -0.843
0.559, -0.809
0.584, -0.757
0.605, -0.693
0.624, -0.623
0.641, -0.555
0.655, -0.473
0.666, -0.402
0.677, -0.337
0.688, -0.269
0.699, -0.202
0.710, -0.132
0.721, -0.0559
0.738, 0.0169
0.748, 0.0802
0.759, 0.144
0.766, 0.205
0.778, 0.263
0.787, 0.338
0.805, 0.405
0.823, 0.480
0.840, 0.543
0.855, 0.606
0.875, 0.667
0.901, 0.706
0.927, 0.734
0.953, 0.750
